Latitude,Longitude,Time,Speed,ID
59.349217144,18.058678039,2019-11-08 18:00:08.336768,0.306,000000005e0fc628
59.349217144,18.058678039,2019-11-08 18:00:09.344011,0.306,000000005e0fc628
59.34922172,18.058678039,2019-11-08 18:00:10.351721,0.279,000000005e0fc628
59.349229062,18.058683488,2019-11-08 18:00:11.359343,0.279,000000005e0fc628
59.349229062,18.058683488,2019-11-08 18:00:12.366613,0.279,000000005e0fc628
59.349229062,18.058683488,2019-11-08 18:00:13.374064,0.247,000000005e0fc628
59.349229062,18.058683488,2019-11-08 18:00:14.381924,0.247,000000005e0fc628
59.349229062,18.058683488,2019-11-08 18:00:15.389490,0.247,000000005e0fc628
59.349231456,18.058666776,2019-11-08 18:00:16.396851,0.123,000000005e0fc628
59.349231456,18.058666776,2019-11-08 18:00:17.404148,0.123,000000005e0fc628
59.349231456,18.058666776,2019-11-08 18:00:18.411658,0.123,000000005e0fc628
59.349231456,18.058666776,2019-11-08 18:00:19.419558,0.109,000000005e0fc628
59.349231456,18.058666776,2019-11-08 18:00:20.426681,0.215,000000005e0fc628
59.349231456,18.058666776,2019-11-08 18:00:21.433788,0.215,000000005e0fc628
59.349231456,18.058666776,2019-11-08 18:00:22.441228,0.279,000000005e0fc628
59.349224114,18.058661328,2019-11-08 18:00:23.448843,0.306,000000005e0fc628
59.349224114,18.058661328,2019-11-08 18:00:24.456077,0.306,000000005e0fc628
59.349226508,18.058644616,2019-11-08 18:00:25.463640,0.26,000000005e0fc628
59.349226508,18.058644616,2019-11-08 18:00:26.471004,0.465,000000005e0fc628
59.349226508,18.058644616,2019-11-08 18:00:27.478452,0.465,000000005e0fc628
59.349219166,18.058639168,2019-11-08 18:00:28.485678,0.468,000000005e0fc628
59.349219166,18.058639168,2019-11-08 18:00:29.493046,0.612,000000005e0fc628
59.349219166,18.058639168,2019-11-08 18:00:30.500471,0.612,000000005e0fc628
59.349219166,18.058639168,2019-11-08 18:00:31.508129,0.414,000000005e0fc628
59.349219166,18.058639168,2019-11-08 18:00:32.515359,0.172,000000005e0fc628
59.349219166,18.058639168,2019-11-08 18:00:33.522630,0.172,000000005e0fc628
59.349223742,18.058639168,2019-11-08 18:00:34.530287,0.279,000000005e0fc628
59.349238054,18.058627905,2019-11-08 18:00:35.537629,0.514,000000005e0fc628
59.349238054,18.058627905,2019-11-08 18:00:36.544756,0.514,000000005e0fc628
59.34924779,18.058616643,2019-11-08 18:00:37.552203,0.368,000000005e0fc628
59.349252366,18.058616643,2019-11-08 18:00:38.559790,0.374,000000005e0fc628
59.349252366,18.058616643,2019-11-08 18:00:39.566984,0.374,000000005e0fc628
59.349259709,18.058622091,2019-11-08 18:00:40.574574,0.545,000000005e0fc628
59.349262263,18.058660963,2019-11-08 18:00:41.582172,0.91,000000005e0fc628
59.349262263,18.058660963,2019-11-08 18:00:42.589884,0.91,000000005e0fc628
59.349259869,18.058677674,2019-11-08 18:00:43.598348,1.038,000000005e0fc628
59.349257475,18.058694385,2019-11-08 18:00:44.606033,0.943,000000005e0fc628
59.349257475,18.058694385,2019-11-08 18:00:45.613412,0.943,000000005e0fc628
59.349264817,18.058699834,2019-11-08 18:00:46.620930,0.395,000000005e0fc628
59.349262423,18.058716545,2019-11-08 18:00:47.628478,0.414,000000005e0fc628
59.349262423,18.058716545,2019-11-08 18:00:48.635899,0.414,000000005e0fc628
59.349262423,18.058716545,2019-11-08 18:00:49.643206,0.279,000000005e0fc628
59.349276735,18.058705283,2019-11-08 18:00:50.650899,0.279,000000005e0fc628
59.349276735,18.058705283,2019-11-08 18:00:51.658392,0.279,000000005e0fc628
59.349276735,18.058705283,2019-11-08 18:00:52.665618,0.279,000000005e0fc628
59.349276735,18.058705283,2019-11-08 18:00:53.672901,0.123,000000005e0fc628
59.349276735,18.058705283,2019-11-08 18:00:54.680565,0.123,000000005e0fc628
59.349291048,18.05869402,2019-11-08 18:00:55.688964,0.17,000000005e0fc628
59.349302966,18.058699469,2019-11-08 18:00:56.696218,0.468,000000005e0fc628
59.349302966,18.058699469,2019-11-08 18:00:57.704085,0.468,000000005e0fc628
59.349302966,18.058699469,2019-11-08 18:00:58.711640,0.109,000000005e0fc628
59.349317278,18.058688206,2019-11-08 18:00:59.719069,0.414,000000005e0fc628
59.349317278,18.058688206,2019-11-08 18:01:00.726565,0.414,000000005e0fc628
